,Coin,Timestamp,Datetime,Last/Open,High/Low,Vol-USDT-24h,Open-24h,High-24h,Low-24h,Close-Last,Vol-Ccy-24h,Vol-Num-24h
513,RFUEL-USDT,1679371326007,2023-03-21 12:02:06.007,-1.8072000000,4.9080000000,31125.3138988501,0.0066400000,0.0068400000,0.0065200000,0.0065200000,31125.3138988501,4654144.0304359999
514,ADA-USDC,1679371348308,2023-03-21 12:02:28.308,1.0251000000,4.2482000000,31003.7283109096,0.3365500000,0.3462500000,0.3321400000,0.3400000000,31112.1127312310,91589.2036000000
515,SWFTC-USDT,1679371345010,2023-03-21 12:02:25.010,0.2573000000,3.1088000000,30794.8469344134,0.0011660000,0.0011940000,0.0011580000,0.0011690000,30794.8469344134,26292670.9092090018
516,FSN-USDT,1679371344422,2023-03-21 12:02:24.422,-0.2252000000,6.2930000000,30708.8286321418,0.3109000000,0.3243000000,0.3051000000,0.3102000000,30708.8286321418,97447.7724320000
517,ORBS-USDT,1679371344009,2023-03-21 12:02:24.009,-2.7692000000,4.7468000000,30472.8532234195,0.0325000000,0.0331000000,0.0316000000,0.0316000000,30472.8532234195,942521.2567190001
518,MINA-USDC,1679371320006,2023-03-21 12:02:00.006,-1.4563000000,9.8985000000,29690.8849173104,0.8240000000,0.8660000000,0.7880000000,0.8120000000,29794.6798325000,36262.6434000000
519,RSR-USDC,1679371339010,2023-03-21 12:02:19.010,-1.5190000000,6.7358000000,29637.2383780283,0.0039500000,0.0041200000,0.0038600000,0.0038900000,29740.8457529000,7472410.9600000000
520,TCT-USDT,1679371325308,2023-03-21 12:02:05.308,-0.6494000000,13.4228000000,29139.0186289886,0.0015400000,0.0016900000,0.0014900000,0.0015300000,29139.0186289886,18677713.8131759986
521,NEAR-ETH,1679371348508,2023-03-21 12:02:28.508,-2.3057000000,4.2403000000,28363.9750326187,0.0011710000,0.0011800000,0.0011320000,0.0011440000,16.1084960000,13956.0000000000
522,OXT-USDT,1679371333109,2023-03-21 12:02:13.109,-3.2715000000,7.9493000000,28354.5580945764,0.0917000000,0.0937000000,0.0868000000,0.0887000000,28354.5580945764,316624.1624850000
523,STRK-USDT,1679371348406,2023-03-21 12:02:28.406,-2.6297000000,3.8771000000,28163.7324141400,14.0700000000,14.2000000000,13.6700000000,13.7000000000,28163.7324141400,2017.7727680000
524,PCI-USDT,1679371320013,2023-03-21 12:02:00.013,-0.9714000000,3.5565000000,28131.7134176000,0.1956000000,0.1980000000,0.1912000000,0.1937000000,28131.7134176000,144831.3500000000
525,KISHU-USDC,1679371330706,2023-03-21 12:02:10.706,-1.9856000000,7.6923000000,27424.5821275968,0.0000000006,0.0000000006,0.0000000005,0.0000000005,27520.4543854959,49722705771210.0000000000
526,IOST-ETH,1679371347407,2023-03-21 12:02:27.407,-3.1646000000,5.2893000000,27397.8412323912,0.0000063200,0.0000063700,0.0000060500,0.0000061200,15.5598083623,2508212.0400000000
527,MANA-ETH,1679371348405,2023-03-21 12:02:28.405,-1.3660000000,5.1902000000,27334.7983062342,0.0003514000,0.0003567000,0.0003391000,0.0003466000,15.5240049630,44435.2100000000
528,YFI-BTC,1679371348105,2023-03-21 12:02:28.105,-1.5974000000,5.9016000000,27268.3390125672,0.3130000000,0.3230000000,0.3050000000,0.3080000000,0.9766322000,3.1403000000
529,BTG-BTC,1679371347706,2023-03-21 12:02:27.706,-5.0736000000,5.7093000000,27156.4401899250,0.0006110000,0.0006110000,0.0005780000,0.0005800000,0.9726244754,1640.8077200000
530,YEE-USDT,1679371327907,2023-03-21 12:02:07.907,-8.5625000000,10.9589000000,27097.5985988744,0.0001600000,0.0001620000,0.0001460000,0.0001463000,27097.5985988744,173652477.4336000085
531,STARL-USDC,1679371330710,2023-03-21 12:02:10.710,-2.4731000000,5.7875000000,27050.7338033877,0.0000025070,0.0000025590,0.0000024190,0.0000024450,27145.2991431800,10834232645.0000000000
532,MOVEZ-USDT,1679371348506,2023-03-21 12:02:28.506,-1.5385000000,7.5099000000,26350.8900220000,0.0026000000,0.0027200000,0.0025300000,0.0025600000,26350.8900220000,10115707.8800000008
533,STC-USDT,1679371339806,2023-03-21 12:02:19.806,-1.1268000000,5.3254000000,26265.9094504000,0.3550000000,0.3560000000,0.3380000000,0.3510000000,26265.9094504000,75361.5649000000
534,SAITAMA-USDC,1679371324006,2023-03-21 12:02:04.006,1.5733000000,4.3172000000,25549.1667180707,0.0021610000,0.0022230000,0.0021310000,0.0021950000,25638.4828027900,11768413.7899999991
535,MON-USDT,1679371326305,2023-03-21 12:02:06.305,-0.5432000000,3.3846000000,25394.3646087350,0.0016570000,0.0016800000,0.0016250000,0.0016480000,25394.3646087350,15390870.2029999997
536,ICP-BTC,1679371341207,2023-03-21 12:02:21.207,-4.6632000000,7.1429000000,25298.3809923280,0.0001930000,0.0001950000,0.0001820000,0.0001840000,0.9060769515,4819.2665000000
537,IGU-USDC,1679371345634,2023-03-21 12:02:25.634,-4.9347000000,5.9976000000,24842.7212030916,0.0865300000,0.0866000000,0.0817000000,0.0822600000,24929.5676594210,297136.0070000000
538,RSR-BTC,1679371345710,2023-03-21 12:02:25.710,-3.4483000000,44.6043000000,24782.1837416505,0.0000001450,0.0000002010,0.0000001390,0.0000001400,0.8875890320,5396263.0000000000
539,NMR-USDC,1679371340008,2023-03-21 12:02:20.008,-4.1863000000,7.2877000000,24754.8361236895,19.1100000000,19.5800000000,18.2500000000,18.3100000000,24841.3753468600,1308.6557400000
540,SRM-USDC,1679371320013,2023-03-21 12:02:00.013,-3.0769000000,8.7302000000,24542.2612725744,0.2600000000,0.2740000000,0.2520000000,0.2520000000,24628.0573657000,93894.8766000000
541,SWFTC-BTC,1679371347805,2023-03-21 12:02:27.805,-1.1682000000,5.1095000000,24411.6192861579,0.0000000428,0.0000000432,0.0000000411,0.0000000423,0.8743170399,20771413.5000000000
542,HC-USDT,1679371346633,2023-03-21 12:02:26.633,1.7206000000,11.2140000000,23959.9686071121,0.0988000000,0.1081000000,0.0972000000,0.1005000000,23959.9686071121,237061.3965130000
543,WAVES-BTC,1679371348209,2023-03-21 12:02:28.209,-4.8780000000,9.2105000000,23792.0000805665,0.0000820000,0.0000830000,0.0000760000,0.0000780000,0.8521250000,10848.0000000000
544,NYM-USDC,1679371348510,2023-03-21 12:02:28.510,-1.7428000000,9.7521000000,23700.4021996412,0.2582000000,0.2701000000,0.2461000000,0.2537000000,23783.2552787300,92628.8833000000
